;title;description
10;Augmentation quotas : namespace projet-archi-iag;"En tant qu'utilisateur, je souhaite demander une augmentation de quotas pour mon namespace projet-archi-iag

Définition du DONE:

* Augmenter le storage (request et limit) à 10Gi
* Augmenter l'ephemeral storage à 100Mi en request et 1Gi en limit"
11;[CSNS][Kubedev] Création d'un groupe d'admin;"En tant que maintenicien de CSNS, je souhaite la création d'un groupe d'administrateurs pour gérer les droits d'accès à mon namespace (projet-csns).

Définition du DONE:

* Dans le [Sugoi de kub dev](https://gestion-comptes-utilisateurs.insee.fr/realm/SSP/applications/k8s-dev), pouvez-vous créer le groupe `ASI_csns_K8S-DEV` et mettre Sébastien Larat @qv47ik, Grégory Daugieras @vxuxi5, Stéphane Roger @yxy4jg, Laurence Robert-Drapeau @zhsnyu dedans ?"
12;Demande d'ouverture de flux vers raw.githubusercontent.com pour le namespace archi-iag;"Demande de gestion des flux sur proxy-app

- [X] :warning: Avant toute demande, consultez l’équipe d’architecture. Les flux ouverts sur vos namespaces sont de votre responsabilité. 

## Informations

- cluster concerné (Kubedev, KubePreprod, KubeProd, KubeDMZ ou KubePPDMZ) : Kubedev
- Nom du namespace demandeur : projet-archi-iag
- Action :
 - [X] ouverture
 - [ ] fermeture
- Liste des noms de domaine :
  - raw.githubusercontent.com

- Informations complémentaires :"
13;[KubePPDMZ][web-insee-plus] Augmentation de ressources pour une phase de test de charge;"En tant que CPI insee.fr, je souhaite tester la capacité de tenue à la charge des modules applicatifs que je vais déployer en prod sur un environnement de préproduction, afin de calibrer les requests/limits de mes applicatifs conformément aux objectifs de charge qui me sont donnés par mon métier.

<!-- Utiliser les tâches pour découper en sous-élements -->

Définition du DONE:

* Sur KubePPDMZ, le namespace projet-web-insee-plus dispose de 16 CPU en requests et 32 CPU en limits (si possible, sinon une cible intermédiaire peut être 12 CPU requests/24 CPU limits)
* Sur KubePPDMZ, le namespace projet-web-insee-plus dispose de 32 Go de RAM en requests et 64 Go de RAM en limits (si possible, sinon une cible intermédiaire peut être 24 Go requests / 48 Go limits)  
* Sur KubePPDMZ, le namespace projet-web-insee-plus dispose de 4 Go d'Ephemeral Storage en requests et 8 Go d'Ephemeral Storage en limits.

A noter qu'à l'issue des tests de charge, un réajustement de ressources à la baisse sera envisageable, selon les besoins effectivement constatés - même si la PPDMZ a vocation a servir régulièrement à valider la capacité de tenue en charge de nos applicatifs."
14;[projet-diffusion-sirene] Suppression du namespace;"En tant qu'équipe Haute-disponibilité, je souhaite supprimer le namespace diffusion-sirene.
https://gitlab.insee.fr/kubernetes/dev/new-gitops-appli/-/blob/main/projects/projet-diffusion-sirene/dev.yaml?ref_type=heads.

Je constate que nous recevons des alertes prometheus pour ce namespace qui ne sert plus (on y avait mis la dev de Syracuse / sirene.fr qui a été décommissionnée), pouvez-vous le supprimer complètement, svp ?

Bonne journée,
Grégoire"
15;[DAC] Demande d'ouverture de flux vers API Albert;"Demande de gestion des flux sur proxy-app

- [X] :warning: Avant toute demande, consultez l’équipe d’architecture. Les flux ouverts sur vos namespaces sont de votre responsabilité.

## Informations

- cluster concerné : Kubedev
- Nom du namespace demandeur : POC-DAC
- Action :
 - [X] ouverture
- Liste des noms de domaine :
  -https://albert.api.etalab.gouv.fr

- Informations complémentaires : 
L'équipe DAC a besoin d'un accès à un llm avec api pour mener à bien son POC."
16;Demande de création de namespace pour CSNS;"Demande de création de namespace

## Informations

- cluster concerné (KubeDev, KubeOSS, KubePP, KubeProd, KubeDMZ ou KubePPDMZ) : KubeDev
- Nom du namespace : `csns`
- lien vers dépôt gitlab des fichiers de déploiement : `https://gitlab.insee.fr/Individus-et-logements/code-statistique-non-signifiant/csns-gitops`
- timbre de la division métier propriétaire de l'application déployée : `dr35-sed`
- timbre de l'équipe de maintenance : `dr45-sndi`
- Adresse mail de l'équipe pour envoi des alertes : `dr45-sndi-csns-developpement@insee.fr`
- quartier de l'application déployée dans ce namespace : `ri`
- liste idep à ajouter sur sugoi pour l'initialisation :
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 100m
        - limits :1000m
    - mémoire :
        - requests : 1Gi
        - limits : 32Gi
    - Storage :
        - requests : 1Gi
        - limits : 10Gi
    - Ephemeral Storage :
        - requests : 100Mi
        - limits : 1Gi

**Est-ce que c'est possible de voir ensemble pour ces valeurs ? Je connais les besoins VM mais l'équivalent pour Kube n'est pas évident.**

- Informations complémentaires (Vault, MinIo ...) :
<!-- Pour Vault, la demande est à faire directement auprès de l'équipe IAHS, plus d'informations ici : https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/#demande-dacc%C3%A8s-au-vault-depuis-son-namespace -->

- [x] /!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)
- [x] /!\ En créant ce ticket, je confirme que mon application est une application connue par l'urbanisation.
- [x] /!\ En créant ce ticket, je m'engage à ne déployer qu'une seule application au sens oscar dans cet espace"
17;[Prisme] Augmentation ressources namespace projet-prisme;"En tant que membre de l'équipe prisme je souhaite disposer de quota plus élevé dans mon namespace (projet-prisme).

Resource                    Used     Hard
--------                    ----     ----
count/pods                    70 -> 90
limits.cpu                  60  -> 80
limits.ephemeral-storage    8Gi ->  10
limits.memory               100Gi -> 120Gi
requests.cpu                 10 -> 12
requests.ephemeral-storage  80Mi -> 100Mi
requests.memory             15Gi -> 20Gi
requests.storage             50Gi

Merci beaucoup =)

Pierre"
18;{DAC} Création namespace Kubedev POC-DAC;"Demande de création de namespace

## Informations

- cluster concerné : KubeDev
- Nom du namespace : POC-DAC
- lien vers dépôt gitlab des fichiers de déploiement : _Une aide est demandée_
- timbre de la division métier propriétaire de l'application déployée : D210
- timbre de l'équipe de maintenance : D210
- Adresse mail de l'équipe pour envoi des alertes : centre-agile@insee.fr
- quartier de l'application déployée dans ce namespace : UT
- liste idep à ajouter sur sugoi pour l'initialisation : LKOOE0,R9554E
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 200m 
        - limits :2000m
    - mémoire :
        - requests : 400Mi
        - limits : 4Gi
    - Storage :
        - requests : 5Gi
    - Ephemeral Storage :
        - requests : 20Mi
        - limits : 200Mi

- Informations complémentaires (Vault, MinIo ...) :
<!-- Pour Vault, la demande est à faire directement auprès de l'équipe IAHS, plus d'informations ici : https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/#demande-dacc%C3%A8s-au-vault-depuis-son-namespace -->

- [x] /!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)
- [x] /!\ En créant ce ticket, je confirme que mon application est une application connue par l'urbanisation.
- [x] /!\ En créant ce ticket, je m'engage à ne déployer qu'une seule application au sens oscar dans cet espace"
19;[Compas] Demande d'ouverture de flux vers Grist;"Demande de gestion des flux sur proxy-app

- [x] :warning: Avant toute demande, consultez l’équipe d’architecture. Les flux ouverts sur vos namespaces sont de votre responsabilité.

## Informations

- cluster concerné (Kubedev, KubePreprod, KubeProd, KubeDMZ ou KubePPDMZ) : Kubedev
- Nom du namespace demandeur : projet-compas
- Action :
 - [x] ouverture
 - [ ] fermeture
- Liste des noms de domaine :
  - https://grist.numerique.gouv.fr

- Informations complémentaires : 

L'équipe Compas reprend les travaux de Denis Marchal sur son api des homologations des applications interne à l'Insee. C'est donc une migration au sein de l'application Compas et nous avons donc besoin de pouvoir récupérer des informations de gestion gérés dans des tableaux partagés sur Grist (le tableur collaboratif mis à disposition par la DINUM) au sein du namespace Compas."
20;[Sonar][Kubedev] Création namespace;"Demande de création de namespace

## Informations

- cluster concerné : kubedev, 
- Nom du namespace : sonar,
- lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/outils-transverses/services-dev/sonar/sonar-gitops
- timbre de la division métier propriétaire de l'application déployée : DG75-D280
- timbre de l'équipe de maintenance : DG75-D280
- Adresse mail de l'équipe pour envoi des alertes : dg75-dsi-domaine-outils-transverses@insee.fr
- quartier de l'application déployée dans ce namespace : AP
- liste idep à ajouter sur sugoi pour l'initialisation : tvxiib, H4YSNQ
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 200m 
        - limits : 1000m
    - mémoire :
        - requests : 1Gi
        - limits : 2Gi
    - Storage :
        - requests : 2Gi
    - Ephemeral Storage :
        - requests : 256Mi
        - limits : 1Gi

- Informations complémentaires (Vault, MinIo ...) :
<!-- Pour Vault, la demande est à faire directement auprès de l'équipe IAHS, plus d'informations ici : https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/guide_utilisateurs/service_gestion_secrets/secrets_externes/#demande-dacc%C3%A8s-au-vault-depuis-son-namespace -->

- [x] /!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)
- [x] /!\ En créant ce ticket, je confirme que mon application est une application connue par l'urbanisation.
- [x] /!\ En créant ce ticket, je m'engage à ne déployer qu'une seule application au sens oscar dans cet espace"
21;Compas: demande d'ouverture flux api github;"Demande de gestion des flux sur proxy-app

- [x] :warning: Avant toute demande, consultez l’équipe d’architecture. Les flux ouverts sur vos namespaces sont de votre responsabilité.

## Informations

- cluster concerné (Kubedev, KubePreprod, KubeProd, KubeDMZ ou KubePPDMZ) : KubeProd 
- Nom du namespace demandeur : projet-compas
- Action :
 - [x] ouverture
 - [ ] fermeture
- Liste des noms de domaine :
  - api.github.com

- Informations complémentaires :"
22;[AGATE] Création du namespace sur kubeprod;"Demande de création de namespace

## Informations

- cluster concerné : KubeProd
- Nom du namespace : projet-agate
- lien vers dépôt gitlab des fichiers de déploiement : https://gitlab.insee.fr/refonte-des-processus-enqueteurs/agate/gitops
- timbre de la division métier propriétaire de l'application déployée : DG75-F620
- timbre de l'équipe de maintenance : DR45-SNDI
- Adresse mail de l'équipe pour envoi des alertes : dr45-sndi-agate@insee.fr
- quartier de l'application déployée dans ce namespace : MN
- liste idep à ajouter sur sugoi pour l'initialisation : KIVT18, M2YINB, MKJ5EE
- Ressources nécessaires : (valeurs à modifier selon les besoins)
    - Nombre max de pods autorisés sur le namespace : 40
    - Nombre de cpu :
        - requests : 100m 
        - limits :32000m
    - mémoire :
        - requests : 100Mi
        - limits : 64Gi
    - Storage :
        - requests : 50Mi
    - Ephemeral Storage :
        - requests : 10Mi
        - limits : 1000Mi

- Informations complémentaires (Vault, MinIo ...) :
Minio : un bucket projet-agate de 50Go

- [x] /!\ En créant ce ticket, je reconnais avoir lu les [conditions générales d'utilisation du cluster](https://kubernetes.gitlab-pages.insee.fr/kubeapp/documentation/charte_usage)
- [x] /!\ En créant ce ticket, je confirme que mon application est une application connue par l'urbanisation.
- [x] /!\ En créant ce ticket, je m'engage à ne déployer qu'une seule application au sens oscar dans cet espace"
23;[Census][RP] Migration sur KubeDMZ;"```markdown
## Identité du projet

- Nom court : Census
- Unité propriétaire (Timbre) : DG75-D280
- Unité de maintenance (Timbre / mail de contact) : DG75-D280 / dg75-dsi-domaine-rp@insee.fr
- Description : Exposer des données publiques à un web service eurostat
- Exposition publique (oui/non) : oui
- Architecture générale : référence au DAT
- Migration ou création : migration depuis un cluster kubernetes OVH

## Briques techniques mobilisées

- [ ] S3
- [x] PVC
- [ ] Keycloak
- [ ] Vault
- [ ] Spoc
- [ ] Sugoi
- [ ] ArgoWorkflows
- [ ] Opérateur custom
- [ ] Autres : ...

## Exigences techniques particulières

Préciser les besoins techniques particuliers.

#### Prod 0

* CPU :
* Mémoire :
* Stockage :
  * objet (S3) :
  * persistent (pvc) : 
  * éphémère :

#### Prod 50

* CPU :
* Mémoire :
* Stockage :
  * objet (S3) :
  * persistent (pvc) : 
  * éphémère :

#### Préprod 50

* CPU :
* Mémoire :
* Stockage :
  * objet (S3) :
  * persistent (pvc) : 
  * éphémère :

## Existant sur KubeDev et niveau de maturité : aucun

* Niveau de connaissance (novice, débutant, confirmé, avancé) :
    * Conteneur débutant
    * Kubernetes débutant
    * Gitlab CI confirmé
    * Helm débutant
    * Gitops avec ArgoCD débutant

* Outils mis en place :
    * [ ] Déploiement avec ArgoCD
    * [ ] Chaîne CICD automatisée
    * [ ] Analyse des CVE
    * [ ] Conformité aux règles de sécurité (securityContext et podSecurityContext)
    * [ ] Suivi et montée de version avec Renovate
    * [ ] Gestion des secrets (sealed secrets ou vault)
    * [ ] Ajustement des requests et limits aux besoins
    * [ ] Traitement des alertes

## Migration (si concernée)

* Faut-il migrer le nom de domaine ? Je pense
* Faut-il migrer des données ? Oui

/label ""Prise de contact PO"" ""MCO
```"
24;Kaniko : possibilité de passer --compressed-caching=false;"Bonjour,

Je construit une image pour lancer une API (python) démarre un model MLFlow qui a besoin de grosses libs. J'avais systématiquement un OOM Killer sur le job docker_build (définit ici : https://gitlab.insee.fr/kubernetes/kubeapp/ci-templates/-/blob/main/images.yaml )

J'ai trouvé une solution qui semble fonctionner : passer l'option --compressed-caching=false à kaniko

Pour le faire, dans ma CI, j'ai dû définir la variable CONTEXT: "". --compressed-caching=false"" mais ca fait vraiment bidouille.

Si mon approche est la bonne, pourriez vous mofier le template de job pour qu'on puisse explicitement passer cette option à kaniko sans détourner une variable qui n'est pas prévue pour ça?"
25;[KubeDev] Renommage namespace rp-homere -> homere;"Bonjour,

Sur KubeDev, je souhaite renommer le namespace projet-rp-homere en projet-homere, ainsi que le bucket associé au namespace.

Merci d'avance"
